Misconception,Misconception ID,Topic,Example Number,Question,Incorrect Answer,Correct Answer,Question image,Learner Answer image,Correct Answer image,Source,Explanation
"when students confuse linear relationships with direct proportions, believing that because a linear function increases or decreases at a constant rate, it must be a direct proportion.",MaE42,"Patterns, relationships, and functions",2,"Sara has made several purchases from a mail-order company.  She has found that the company charges $12.90 to ship an 8-kg package, $6.40 to ship a 3-kg package, and $9.00 to ship a 5-kg package.  Sara decides that the company must be using a  simple rule to determine how much to charge for shipping.  Help her figure out how much it would most likely cost to ship a 1-kg package and how much each additional kilogram would cost.","I will calculate the cost per kilogram for each package:
12.9/8=1.6125 dollars per kg, for the 8-kg package
6.40/3=2.1333 dollars per kg, for the 3-kg package
9.00/5=1.80 dollars per kg, for the 5-kg package
The average is: (1.6125+2.1333+1.80)/3=1.8486 dollars per kg
The cost to ship 1-kg package is: (1.8486 dollars/kg)*(1 kg)=1.8486 dollars
It will cost $1.85 to ship a 1-kg package, and each additional kilogram will cost $1.85","A linear function (y = 1.30x + 2.50) fits the three given values, the cost to ship a 1-kg package would be $3.80, and the cost for each additional kilogram is $1.30 (the slope).",,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. (2001)
p. 415","The learner tried to find a simple, constant rate per kilogram by averaging the costs and weights given, considering the problem as a direct proportion while it is a linear relationship."
"when students struggle to represent key aspects and relationships in patterns, as seen in attempts like graphical representations missing key components",MaE35,"Patterns, relationships, and functions",3,"Joe rod his bike 2 miles to the bus station. He then boarded a bus that took him 12.5 miles. When he got off the bus, he walked 1 more mile to get to his friend's house. How far did Joe travel in all?","[The learner drew a bike and a bus station, writing ""2 miles"" in between]","A schematic representation including the bike, the bus station and the data provided in the statement: 2 miles by bike, 12.5 miles by bus, and 1 mile walked.",,MaE35-Ex3LA,,"Scheuermann and van Garderen  (2008)
p. 4","Michael's representation is related to the problem, however he missed some key components to better illustrate the data of the problem and its solution."
"when students confuse linear relationships with direct proportions, believing that because a linear function increases or decreases at a constant rate, it must be a direct proportion.",MaE42,"Patterns, relationships, and functions",4,"You have two gears on your table. Gear A has 8 teeth, and gear B has 12 teeth. Answer the following questions. 
Devise  a way to keep track of gear B's revolutions","x  |  y
0  |  5
1   | 12
2   | 19
3   | 26
5   | 40
6   | 47
On the x side, it's going up by ones, and on the other side, it's going up by ... sevens. It's a pattern, but this isn't linear. It has to
 be a pattern that doesn't change. You know? It has to be like 3, 6, 9, like that.","Each time gear A makes one revolution, gear B moves 5 spaces. This is a linear function that can be modeled with the equation:
y=7x+5",,,,"Ellis, A. B. (2009)",
when students fail to see ratios as relationships between two quantities,MaE28,Ratios and proportional reasoning,4,Eric has 12 cups of lemonade that tastes exactly the same as Brody’s (3 cups of water for 2 cups of lemon juice). He needs a larger amount of lemonade. He pours one more cup of water and one more cup of lemon juice. Does his lemonade still taste the same? Why or why not?,"Since 4/3 = 1.33 and 3/2 = 1.5, the ratios are very close, so the lemonade will taste the same","Eric's lemonade will not taste the same anymore, because he did not add the water and lemon in the same proportions",,,,"JiYeong I, 2018","Students added 1 to each term of the given ratio. Treating a ratio as a single quantifiable, non-fraction, value. This shows their lack of understanding that a ratio is a relationship of two or more quantities, not quantities themselves"
"when students lack unitization skills, unable to treat ratios as composite units to solve problems systematically.",MaE27,Ratios and proportional reasoning,4,"Last Saturday, Rachel shelled walnuts. She was paid $5.00 for the day, plus an additional $0.10 for each cup of walnuts she shelled. If Rachel earned a total of $17.00, how many QUARTS of walnuts did Rachel shell? Show all work.","17-5=12
12÷5=2.4
2.4 quarts","$17-$5=$12
She earned $12 for the walnuts she shelled
($0.10)/(1 cup)=($12)/(? cup)
12÷0.10=120 cups
(4 quarts)/(1 cup)=((? quarts)/(120 cups)
4*120=480
480 quarts",,,,"Bush, 2011
p. 240-241","The learners showed the inability to unitize when converting between cups and quarts
"
"when students mistakenly add two negative numbers, yielding a positive sum, particularly in equations with variables",MaE32,Properties of number and operations,1,x+1-3+1-1+2-1=6 in the context of putting blocks in and out of a bag,"That’s putting in 4 and taking out 5.
x+4-5=6
x=6-5-4
x=6+9=15",x=7,,,,"Tierney & Monk (2008)
p. 189",
when students struggle to understand that ratios can compare same or different units,MaE24,Ratios and proportional reasoning,4,"In baking a cake, for every 8 eggs, one needs 18 cups of flour. If Mary has 4 cups of flour, how many eggs does she need?","1.5 eggs
[The learner answered without computing, not relating the number of cakes to the number of eggs]",1.78 eggs with 4 cups,,,,"Sigh, 2000
p. 18","The learner used the unit method and computed 18 divided by 8 to match 1 cup with the number of eggs. She did it mentally and obtained 2.25 (which was actually 1 egg with 2.25 cups). When she multiplied 2.25 by 4 she found the result of 18 puzzling. ""That can't be!"" she said. Then she utilized the scalar method and computed a division of 18 by 4 which was 4.5. She  wrote: 4.5 cups with 2 eggs, 4 cups with 1.5 eggs [as both cups and eggs are lesser by 1/2]. She utilized the additive strategy"
"when students fail to regroup in subtraction, mistakenly subtracting the larger number from the smaller",MaE21,Number Operations,2,Find the difference between 100 and 40.,"100
- 40
---------
140",100-40=60,,,,"Bush (2011)
p. 258
 El ejemplo de los círculos inscritos en un cuadrado",
"when students interchange minuend and subtrahend, reversing subtraction order, causing calculation errors, especially in equations or expressions",MaE33,Properties of number and operations,2,"Solve for n:
5n+12=3n+24","5n+12=3n+24
5n+12−5n=3n+24−5n
12=−2n+24
12−24=−2n+24−24
−12=−2n
n=-12/-2
n=6",n=6,,,,"L Linchevski, N Herscovics (1996)
p. 46","The learner tried to use inverse operations, but did the subtracction in reverse order. However, the learner got the correct answer. This demonstrates how sometimes incorrect methods can still lead to the correct answer."
"when students struggle to recognize when to combine like terms, failing to add or subtract terms with the same variable, as in 4x+2x+x=7x",MaE55,Equations and inequalities,4,"Simplify: 3(6x-4)+2(3x-3)
Show your work",3(6x-4)+2(3x-3)=18x-12+6x-6=18x-18+6x,24x-18,,,,"Bush, 2011
p. 215-216","The learner only added the numbers, but did not combine the like terms containing x"
"when students simplify just one of the terms in a fraction, either the numerator or the denominator",MaE07,Number Operations,4,Simplify the fraction 7/7,7/7=1/7,7/7=1,,,,"Ashlock, 2006","The learner simplified the numerator, but not the denominator"
when students get confusion over operation symbols and their meanings in algebra,MaE53,Equations and inequalities,2,"Kate sold 12 tickets to a school play. Katie's total sales, t, for the tickets is given by the formula 
12c=t
where c is the cost per ticket.
What were Katie's total sales if the cost of each ticket is $5?","All I have to do is to replace the first letter in the equation, with the first number given in the statement:
12(12)=144","12c=t
12*($5)=$60
Katie's total sales were $60",,,,"Bush, 2011
p. 183","The learner did not understand the meaning of the symbols representing the variables, so they substituted the amount of tickets in the variable on the left side of the equation"
"when students wrongly position the decimal in multiplication by counting from the left, not the right",MaE20,Number Operations,3,4.35*2.3=?,"4.35
x 2.3
----------
1305
870
-------
100.05",10.005,,,,"Ashlock (2006)
p. 176",
when students incorrectly apply a single proportion formula to all percentage problems: (smaller value)/(larger value) = (x/100),MaE29,Ratios and proportional reasoning,3,"The taffy sale brought in a total of $750, but 78% of this was used for expenses. How much money was used for expenses?","(78/750)=(x/100)
$10.4",$585,,,,"Ashlock (2006)
p. 187",
when students inaccurately simplify fractions by guessing instead of dividing,MaE06,Number Operations,2,Reduce 4/9,4/9=2/3,4/9 can't be reduced,,,,"Ashlock, 2006",
"when students misunderstand how to identify and use equivalent forms of ratios, including fractions and decimals",MaE26,Ratios and proportional reasoning,1,"Express ""2/3 dollars per balloon"" with equivalent integer numbers.",$0.67 per balloon,$3 dollars per 9 balloons,,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. 2011
p. 263-264","The learner interpreted 2/3 as a division, rather than a ratio"
"when students misunderstand the equal sign as indicating ""the answer is"" rather than representing a relationship between quantities",MaE51,Equations and inequalities,1,"3 + 4 = 7
      ↑
The arrow above points to a symbol.
What does the symbol mean?","The symbol means ""add the numbers""",The symbol is the equal sign and it means that the statement on the left side is equivalent to the statement on the right side,,,,"Asquith et al.  2007
p. 9",
when students fail to see ratios as relationships between two quantities,MaE28,Ratios and proportional reasoning,3,"Samer has 35 red glass balls in a bag and 25 green glass balls.
What is the ratio of the green balls to all glass balls in the bag in the simplest form?",25 and 60,5/12,,,,"Khasawneh 2022
p. 6",
